$primary$,$original$
$_empty_entry_$,$_empty_entry_$
$100% btlt water well$,$100% btlt water well$
$100% btlt water well$,$100% water well$
$100% btlt water well$,$100% btlt well$
$100% city water$,$100% city water$
$100% falfurrias city water$,$100% falfurrias city water$
$100% falfurrias city water$,$100% falfurias city water$
$100% lopez 1 water$,$100% lopez 1 water$
$100% lopez water$,$100 % lopez ranch well$
$100% mcallen central$,$100% mcallen central$
$100% mission water$,$100% mission water$
$100% mission water$,$100% mission city water$
$100% palmer well$,$100% palmer well$
$100% palmer well$,$100% palmer water well$
$100% pond water$,$pond water$
$100% well water$,$onsite groundwater well - encana$
$3chem, llc$,$3chem, llc$
$3g energy services$,$3g energy services$
$3rd party$,$3rd party$
$3rd party$,$3rd. party$
$3rd party$,$3rd party delivered$
$3rd party$,$3rd party vendor$
$3rd party$,$3rd party delievered$
$3rd party$,$3rd party thru chisolm o & g$
$90% mcallen central and 10% mcallen city water$,$90% mcallen central and 10% mcallen city water$
$a & c$,$a & c$
$a & c$,$a&c$
$a schulman inc$,$a schulman inc$
$a schulman inc$,$a schulman inc.$
$a schulman inc$,$a. schulman inc.$
$a schulman inc$,$a. schulman, inc$
$a. shulman$,$a. shulman$
$a&w water service inc$,$a&w  water service inc$
$a&w water service inc$,$a&w water servic inc$
$a&w water service inc$,$a&w water service$
$a&w water service inc$,$a&w water service inc$
$a&w water service inc$,$a&w water service inc.$
$a&w water service inc$,$a&w water service inc/encana$
$a&w water service inc$,$a&w water services$
$a&w water service inc$,$a&w water services inc$
$a&w water service inc$,$a&w water services inc.$
$a&w water service inc$,$aw water service inc.$
$abraxas petroleum$,$abraxas petroleum$
$access chemicals$,$access chemicals$
$ace completions$,$ace$
$ace completions$,$ace  completions$
$ace completions$,$ace completion$
$ace completions$,$ace completions$
$ace completions$,$eagle exploration$
$ace completions$,$ace chemical$
$advanced biocatalytics corporation$,$advanced biocatalytics corporation$
$advanced enzyme systems,llc$,$advanced enzyme systems,llc$
$advanced enzyme systems,llc$,$advanced enzyme systems, llc$
$advanced stimulation technologies$,$advanced stimulati$
$advanced stimulation technologies$,$advanced stimulati on$
$advanced stimulation technologies$,$advanced stimulati on technolo gies$
$advanced stimulation technologies$,$advanced stimulatio$
$advanced stimulation technologies$,$advanced stimulatio n$
$advanced stimulation technologies$,$advanced stimulation$
$advanced stimulation technologies$,$advanced stimulation techniques$
$advanced stimulation technologies$,$advanced stimulation technologies$
$advanced stimulation technologies$,$advanced stimulaton technologies$
$advantage$,$advantage$
$advantage$,$advantage$
$adventure$,$adventure$
$aegis chemical solutions$,$aegis$
$aegis chemical solutions$,$aegis chem$
$aegis chemical solutions$,$aegis chem.$
$aegis chemical solutions$,$aegis chemcial solutions$
$aegis chemical solutions$,$aegis chemical$
$aegis chemical solutions$,$aegis chemical solution$
$aegis chemical solutions$,$aegis chemical solutions$
$aegis chemical solutions$,$aegis chemical solutions, llc$
$aegis chemical solutions$,$aegis cehmical solutions, llc$
$aegis chemical solutions$,$aegis-chem.$
$aegis chemical solutions$,$aegisl$
$aes frac fluids$,$aes frac fluids$
$aes frac fluids$,$aes fluids$
$aethon$,$aethon$
$aexco petroleum$,$aexco petroleum$
$ageis$,$ageis$
$agri-empressa$,$agri-emppresa$
$agri-empressa$,$agri-empr essa$
$agri-empressa$,$agri-empres a$
$agri-empressa$,$agri-empres sa$
$agri-empressa$,$agri-empresa$
$agri-empressa$,$agri-empressa$
$agri-empressa$,$agri-impress$
$agri-empressa$,$agri-impressa$
$agri-empressa$,$agriempress a$
$agri-empressa$,$agriempressa$
$agri-empressa$,$agri-empresa, inc.$
$agri-empressa$,$agri empresa$
$agri-empressa$,$agri-empresa llc$
$ahrberg mill, allen$,$ahrberg mill, allen$
$ai-sealing$,$a1-sealing, llc$
$ai-sealing llc$,$a1-sealing llc$
$ai-sealing llc$,$ai-sealing$
$ai-sealing llc$,$ai-sealing llc$
$ai-sealing llc$,$ai-sealing, llc$
$ai-sealing llc$,$al-sealing llc$
$ai-sealing llc$,$al-sealing$
$ai-sealing llc$,$ai sealing llc$
$ai-sealing llc$,$ai sealing$
$ai-sealing llc$,$american international sealing$
$ai-sealing llc$,$american international sealing llc$
$ai-sealing llc$,$americhem international$
$air products/air liquide$,$air liquide$
$air products/air liquide$,$air products$
$air products/air liquide$,$air products/air liquide$
$air products/air liquide$,$air products/ air liquide$
$air products/air liquide$,$air products/air liquids$
$air products/air liquide$,$air products/air liquiders$
$aire liquide$,$aire liquide$
$airgas$,$airgas$
$airproduct/airliquide$,$airproduct/airliquide$
$alamo pressure pumping llc$,$alamo pressure pumping llc$
$alamo pressure pumping llc$,$alamo pressure pumping,llc$
$alchemy sciences$,$alchemy sciences$
$allchem services, inc.$,$allchem$
$allchem services, inc.$,$allchem services, inc.$
$allchem services, inc.$,$allchem services$
$allen brothers$,$allen brothers$
$allied oil & gas services, llc$,$allied oil & gas services, llc$
$allied oil & gas services, llc$,$allied oil & gas services llc$
$alpine$,$alpine$
$alpine$,$alpine gas operator$
$alta mesa$,$alta mesa$
$alta mesa$,$alta mesa holdings$
$alta mesa$,$alta mesa holdings, l.p.$
$altamont energy$,$altamont energy$
$ambiguous$,$ngineered chemistry$
$ambiguous$,$onal$
$ambiguous$,$operating co.$
$ambiguous$,$operating company$
$ambiguous$,$service co$
$ambiguous$,$service lp$
$ambiguous$,$services$
$ambiguous$,$services company$
$ambiguous$,$services company u s a$
$ambiguous$,$services llc$
$ambiguous$,$services ltd$
$ambiguous$,$services, llc$
$ambiguous$,$uc1,od1$
$ambiguous$,$surfactant$
$ambiguous$,$unknown$
$ambiguous$,$sand$
$ambiguous$,$leg$
$ambiguous$,$monooctadecanoate$
$ambiguous$,$v1411139$
$ambiguous$,$x1210129$
$ambiguous$,$a1611520$
$ambiguous$,$ecorene 40 series$
$ambiguous$,$b1310577$
$ambiguous$,$20016$
$ambiguous$,$280571$
$ambiguous$,$742143$
$ambiguous$,$anhydrous$
$ambiguous$,$l1310765$
$ambiguous$,$t1210008$
$ambiguous$,$scale inhibitor$
$ambiguous$,$scalesorb 7$
$ambiguous$,$borate crosslinker$
$ambiguous$,$s1210366$
$ambiguous$,$ammonium bisulfite$
$ambiguous$,$501545$
$ambiguous$,$b1310544$
$ambiguous$,$super dc, 20/40$
$ambiguous$,$friction reducer$
$ambiguous$,$370457$
$ambiguous$,$216378$
$ambiguous$,$15% hcl$
$ambiguous$,$r1210401$
$ambiguous$,$775854$
$ambiguous$,$v1210221$
$ambiguous$,$u.s.$
$ambiguous$,$w3440$
$ambiguous$,$water$
$ambiguous$,$s1811950$
$ambiguous$,$carrier fluid$
$ambiguous$,$a1310571$
$ambiguous$,$acid$
$ambiguous$,$mx b-8630$
$ambiguous$,$local creek$
$ambiguous$,$gelling agent$
$ambiguous$,$h1210144$
$ambiguous$,$hvg-1$
$ambiguous$,$figure 3 operating$
$ambiguous$,$d1210017$
$ambiguous$,$mc b 8630$
$ambiguous$,$mc mx 2-2822$
$ambiguous$,$l210$
$ambiguous$,$location - rockhouse creek, ky$
$ambiguous$,$location - hood creek, ky$
$ambiguous$,$m1811920$
$ambiguous$,$m1611597$
$ambiguous$,$m1511487$
$ambiguous$,$b1310600$
$ambiguous$,$mcallen ranch well #154 100%$
$ambiguous$,$81% city water, 19% btlt pond$
$ambiguous$,$80% btlt water well 20% city water nabors yard$
$ambiguous$,$80% btlt water well 20% city water$
$ambiguous$,$7732-18-5$
$ambiguous$,$75% btlt, 25% nabors yard$
$ambiguous$,$714217$
$ambiguous$,$70% btlt water well and 30% mission city water$
$ambiguous$,$7.44$
$ambiguous$,$85% btlt water well 5% mcallen ranch 10% city water$
$ambiguous$,$60% nabors and 40% btlt pond$
$ambiguous$,$60% mcallen ranch, 30% city water, 10% btlt water$
$ambiguous$,$50% mcallen central/25% city water/25% mcallen ranch well water$
$ambiguous$,$50% mcallen central 50% btlt water well$
$ambiguous$,$50% btlt, 50% mission city$
$ambiguous$,$90% mcallen central 10 % city$
$ambiguous$,$90% mcallen central, 10% mcallen city water$
$ambiguous$,$90% city 10% mcallen central$
$ambiguous$,$9.8412$
$ambiguous$,$9.66$
$ambiguous$,$9.08$
$ambiguous$,$50% btlt, 50% city water$
$ambiguous$,$10% mcallen city water and 90% lopez water well$
$ambiguous$,$14808-60-7$
$ambiguous$,$15% hydrochloric acid$
$ambiguous$,$50% btlt well and 50% mcallen central$
$ambiguous$,$45% mission city water and 55% neighbors$
$ambiguous$,$42% transfer from 158  18% city water 18% btlt pond 22% mcallen central$
$ambiguous$,$302$
$ambiguous$,$28734$
$ambiguous$,$267818$
$ambiguous$,$25% mo-vac yard 25%btlt well 50% oxy facility$
$ambiguous$,$ammonium persulfate$
$ambiguous$,$a1711722$
$ambiguous$,$trs 860$
$ambiguous$,$variable$
$ambiguous$,$v1511256$
$ambiguous$,$alice, tx$
$ambiguous$,$akron city water$
$ambiguous$,$p.o.+g.$
$ambiguous$,$ottawa 20-40-12-20$
$ambiguous$,$parker trust 20-22$
$ambiguous$,$ee3$
$ambiguous$,$choline chloride$
$ambiguous$,$city 10% mcallen central 35% btlt 55%$
$ambiguous$,$f1511407$
$ambiguous$,$silica quartz$
$ambiguous$,$breaker$
$ambiguous$,$fdp-s 1118-13$
$ambiguous$,$fdp-s 1176-15$
$ambiguous$,$c1611663$
$american eagle energy$,$american eagle energy$
$american energy permian basin$,$american energy permain basin$
$american energy permian basin$,$american energy permian basin$
$american energy permian basin$,$american energy partners$
$american energy permian basin$,$american energy partners-ok city$
$american resource development, llc$,$american resource development, llc$
$american resource development, llc$,$american resource development (ameredev)$
$americhem$,$americhem$
$americo energy resources$,$americo energy resources$
$americo energy resources$,$american energy utica llc$
$amma products$,$amma products$
$amp chemical$,$amp chemical$
$ampak oil company$,$ampak oil company$
$amrox$,$amrox$
$amrox$,$amrox chem$
$anadarko petroleum$,$anadarko$
$anadarko petroleum$,$anadarko petrolem$
$anadarko petroleum$,$anadarko petroleum$
$anadarko petroleum$,$anadarko petroleum company$
$anadarko petroleum$,$anadarko petroleum corp$
$anadarko petroleum$,$anadarko petroleum corp.$
$anadarko petroleum$,$anadarko petroleum corporation$
$anadarko petroleum$,$anadarkopetroleum$
$anadarko petroleum$,$anadrko petroleum$
$anadarko petroleum$,$andadarko petroleum$
$anadarko petroleum$,$andarko petroleum$
$anadarko petroleum$,$anadarko petroluem$
$anadarko petroleum$,$anadarko petroleum corp (rocky mountain)$
$anadarko petroleum$,$anadarko petro.corp.$
$anchor drilling fluids usa inc$,$anchor drilling fluids usa inc$
$anchor drilling fluids usa inc$,$anchor drilling fluids$
$anchor drilling fluids usa inc$,$anchor$
$anderson oil ltd$,$anderson oil ltd$
$antero resources$,$antero$
$antero resources$,$antero resource s$
$antero resources$,$antero resources$
$antero resources$,$antero resources - west virginia$
$apache corp.$,$apache$
$apache corp.$,$apache corp$
$apache corp.$,$apache corp.$
$apache corp.$,$apache corporation$
$apache corp.$,$apche corp.$
$apache corp.$,$apache corporation-houston$
$apb-1$,$apb-1$
$apc$,$apc$
$apex resources, inc$,$apex resources$
$apex resources, inc$,$apex resources inc.$
$apex resources, inc$,$apex resources, inc$
$apex resources, inc$,$apex$
$apollo$,$apollo$
$appalachia drilling fluids$,$appalachia drilling fluids$
$appalachian energy inc$,$appalachian energy inc$
$appaloosa energy llc$,$appaloosa energy llc$
$approach resources, inc.$,$approach$
$approach resources, inc.$,$approach resources, inc.$
$approach resources, inc.$,$approach operating, llc$
$aqua and hydro recovery$,$aqua and hydro recovery$
$aqua tex$,$aqua tex$
$aquaness chemical$,$aquaness chemical$
$aquaserv, inc.$,$aquaserv$
$aquaserv, inc.$,$aquaserv, inc$
$aquaserv, inc.$,$aquaserv, inc.$
$arch chemicals$,$arch chemical$
$arch chemicals$,$arch chemicals$
$arch chemicals$,$arch chemicals inc.$
$arch chemicals$,$arch chemicals, inc.$
$arch chemicals$,$arch$
$archer$,$archer$
$archer$,$archer pressure pumping$
$archer$,$archer/nalco$
$arepet$,$arepet$
$arris petroleum$,$arris petroleum$
$arrowhead energy$,$arrowhead energy$
$arsenal resources$,$arsenal resources$
$arsenal resources$,$arsenal energy inc$
$ascent$,$ascent$
$ascent$,$ascent resources$
$ashland$,$ashland$
$ashland$,$ashland-ol in$
$ashland$,$ashland-olin$
$ask$,$ask$
$ask$,$ask chemical$
$ask$,$ask chemicals$
$ask$,$ask industries$
$ask$,$ask industries, inc.$
$aspen polymers$,$aspen polymers$
$aspen polymers$,$aspen polymers company$
$aspen rentals, inc$,$aspen rentals, inc$
$ast$,$ast$
$astro-chem lab, inc.$,$astro-chem lab, inc$
$astro-chem lab, inc.$,$astro-chem lab, inc.$
$atalaya resources, llc$,$atalaya resources, llc$
$athlon$,$athlon$
$athlon$,$athon$
$athlon$,$athlon energy$
$athlon$,$athlon energy operating, llc$
$athlon$,$athlon holdings$
$atlantic operating$,$atlantic operating$
$atlantic operating$,$atlantic exploration$
$atlantic operating$,$atlantic resources company$
$atlas energy$,$atlas energy$
$atlas resin coated proppants$,$atlas$
$atlas resin coated proppants$,$atlas resin coated proppants$
$atlas resin coated proppants$,$atlas resin proppant$
